year,week,per_customer_mean
2021,48,48.15334399531948
2021,49,48.41528283697003
2021,50,52.510757762810776
2021,51,57.52637987849169
2021,52,58.685265095349
2022,1,59.0747311089633
2022,2,64.88148633829329
2022,3,67.58797935710963
2022,4,66.14722814269881
2022,5,61.40801065197627
2022,6,54.31326508176119
2022,7,49.41353502012818
2022,8,47.6540237186966
2022,9,48.011691134910556
2022,10,47.5642391883936
2022,11,57.66415426453697
2022,12,66.78854718797726
2022,13,59.2510414562407
2022,15,93.71411927920906
2022,16,97.65250932389782
2022,17,108.82599528702724
2022,18,107.56429019074476
2022,19,122.10977994099164
2022,20,128.2041339018219
2022,21,82.60684658493744
2022,22,2.4196666666666666
2022,23,3.15
2022,24,5.467777777777778
2022,26,2.59175
2022,27,1.239875
2022,28,1.9348385000000001
2022,29,2.057125
2022,30,3.6778
2022,31,2.8107331
2022,32,0.8494103333333333
2022,33,0.53025
2022,34,2.7437200000000006
2022,35,1.4246461250000002
2022,36,1.9075
2022,37,1.0947597500000001
2022,38,1.8391286666666666
2022,39,70.96291791044777
2022,40,82.41575034722219
2022,41,82.14587434554969
2022,42,124.5225723014257
2022,43,118.53846497811134
2022,44,49.66272185773767
2022,45,95.3222150189413
2022,46,90.2336459515773
2022,47,84.61176119696881
2022,48,87.52247118464909
2022,49,87.82636387998927
2022,50,97.7724929492118
2022,51,87.25052421439143
2022,52,71.26924373332108
2023,1,75.79514192851879
2023,2,73.19923173348378
2023,3,68.9268330965591
2023,4,67.22390323589487
2023,5,75.3906593536501
2023,6,79.70385344718812
2023,7,89.20663541620569
2023,8,91.63373510378771
2023,9,96.44473302156364
2023,10,100.5335838719883
2023,11,105.18086243096799
2023,12,87.54487441674253
2023,13,64.86802486833832
