scope,freq,metric,stat,value,n_periods,coverage_note
all,hour,total_usage,mean,43584.02163144011,8327,observed hours only
all,hour,total_usage,median,26765.241000000922,8327,observed hours only
all,week,total_usage,mean,5567702.150090782,68,week via subperiod fill
all,week,total_usage,median,3860297.5335066533,68,week via subperiod fill
all,month,total_usage,mean,24733982.83526541,16,month via subperiod fill
all,month,total_usage,median,18128024.846943773,16,month via subperiod fill
all,year,total_usage,mean,131914575.12141554,3,year via subperiod fill
all,year,total_usage,median,49886312.19904336,3,year via subperiod fill
all,year_annualized,total_usage,mean,289520511.80472064,68,annualized from weekly mean ×52
all,hour,per_customer_usage,mean,0.4717211288924196,8327,per-customer mean per period
all,hour,per_customer_usage,median,0.48367177449079835,8327,per-customer mean per period
all,week,per_customer_usage,mean,60.25259866828139,68,per-customer mean per period
all,week,per_customer_usage,median,66.46788766533803,68,per-customer mean per period
all,month,per_customer_usage,mean,273.0477402841907,16,per-customer mean per period
all,month,per_customer_usage,median,268.8008295428976,16,per-customer mean per period
all,year,per_customer_usage,mean,918.5136254962518,3,per-customer mean per period
all,year,per_customer_usage,median,967.298169938166,3,per-customer mean per period
all,all,zero_usage_share_rows,level,0.10697414588496326,1655330300,""
all,all,top10pct_share,level,0.3703512957887866,238479,""
delhi_2021,hour,total_usage,mean,51559.04595152198,744,observed hours only
delhi_2021,hour,total_usage,median,48994.76966799438,744,observed hours only
delhi_2021,week,total_usage,mean,8666196.754167592,5,week via subperiod fill
delhi_2021,week,total_usage,median,8593397.048144255,5,week via subperiod fill
delhi_2021,month,total_usage,mean,38359930.188148856,1,month via subperiod fill
delhi_2021,month,total_usage,median,38359930.188148856,1,month via subperiod fill
delhi_2021,year,total_usage,mean,38359930.188148856,1,year via subperiod fill
delhi_2021,year,total_usage,median,38359930.188148856,1,year via subperiod fill
delhi_2021,year_annualized,total_usage,mean,450642231.2167148,5,annualized from weekly mean ×52
delhi_2021,hour,per_customer_usage,mean,0.31537763311959843,744,per-customer mean per period
delhi_2021,hour,per_customer_usage,median,0.29891048596158,744,per-customer mean per period
delhi_2021,week,per_customer_usage,mean,52.94832792122416,5,per-customer mean per period
delhi_2021,week,per_customer_usage,median,52.51075776281092,5,per-customer mean per period
delhi_2021,month,per_customer_usage,mean,233.77995045186393,1,per-customer mean per period
delhi_2021,month,per_customer_usage,median,233.77995045186393,1,per-customer mean per period
delhi_2021,year,per_customer_usage,mean,233.77995045186483,1,per-customer mean per period
delhi_2021,year,per_customer_usage,median,233.77995045186483,1,per-customer mean per period
delhi_2021,all,zero_usage_share_rows,level,0.10521709667323546,243195781,""
delhi_2021,all,top10pct_share,level,0.3482273816272745,165077,""
delhi_2022,hour,total_usage,mean,71410.46757621063,3419,observed hours only
delhi_2022,hour,total_usage,median,68528.69841499135,3419,observed hours only
delhi_2022,week,total_usage,mean,5178517.986535103,51,week via subperiod fill
delhi_2022,week,total_usage,median,4.572866666666666,51,week via subperiod fill
delhi_2022,month,total_usage,mean,23062161.743697125,12,month via subperiod fill
delhi_2022,month,total_usage,median,2967925.5187986246,12,month via subperiod fill
delhi_2022,year,total_usage,mean,276745940.9243655,1,year via subperiod fill
delhi_2022,year,total_usage,median,276745940.9243655,1,year via subperiod fill
delhi_2022,year_annualized,total_usage,mean,269282935.2998254,51,annualized from weekly mean ×52
delhi_2022,hour,per_customer_usage,mean,0.427877666356702,3419,per-customer mean per period
delhi_2022,hour,per_customer_usage,median,0.40675053577187636,3419,per-customer mean per period
delhi_2022,week,per_customer_usage,mean,32.09782751028558,51,per-customer mean per period
delhi_2022,week,per_customer_usage,median,2.8107331,51,per-customer mean per period
delhi_2022,month,per_customer_usage,mean,156.73414398163277,12,per-customer mean per period
delhi_2022,month,per_customer_usage,median,93.97576361943497,12,per-customer mean per period
delhi_2022,year,per_customer_usage,mean,1742.6698207518848,1,per-customer mean per period
delhi_2022,year,per_customer_usage,median,1742.6698207518848,1,per-customer mean per period
delhi_2022,all,zero_usage_share_rows,level,0.1006820968134021,1100253784,""
delhi_2022,all,top10pct_share,level,0.34108081421694236,184530,""
delhi,hour,total_usage,mean,67862.6756740323,4163,observed hours only
delhi,hour,total_usage,median,64096.97691198603,4163,observed hours only
delhi,week,total_usage,mean,5411734.934078382,55,week via subperiod fill
delhi,week,total_usage,median,5.6214662,55,week via subperiod fill
delhi,month,total_usage,mean,24238913.162501685,13,month via subperiod fill
delhi,month,total_usage,median,5935828.5468280185,13,month via subperiod fill
delhi,year,total_usage,mean,157552935.55626097,2,year via subperiod fill
delhi,year,total_usage,median,157552935.55626097,2,year via subperiod fill
delhi,year_annualized,total_usage,mean,281410216.5720759,55,annualized from weekly mean ×52
delhi,hour,per_customer_usage,mean,0.4077719674068066,4163,per-customer mean per period
delhi,hour,per_customer_usage,median,0.38515342109371453,4163,per-customer mean per period
delhi,week,per_customer_usage,mean,33.49468880108557,55,per-customer mean per period
delhi,week,per_customer_usage,median,3.6778,55,per-customer mean per period
delhi,month,per_customer_usage,mean,162.6607444793428,13,per-customer mean per period
delhi,month,per_customer_usage,median,170.75270370945748,13,per-customer mean per period
delhi,year,per_customer_usage,mean,988.2248856018758,2,per-customer mean per period
delhi,year,per_customer_usage,median,988.2248856018758,2,per-customer mean per period
delhi,all,zero_usage_share_rows,level,0.10150303781593766,1343449565,""
delhi,all,top10pct_share,level,0.34219468283628557,184640,""
mumbai_2022,hour,total_usage,mean,14376.602854996545,2262,observed hours only
mumbai_2022,hour,total_usage,median,19485.959500001958,2262,observed hours only
mumbai_2022,week,total_usage,mean,2355433.9917782145,14,week via subperiod fill
mumbai_2022,week,total_usage,median,3414537.5040062903,14,week via subperiod fill
mumbai_2022,month,total_usage,mean,8171896.044515145,4,month via subperiod fill
mumbai_2022,month,total_usage,median,8207449.532015949,4,month via subperiod fill
mumbai_2022,year,total_usage,mean,32687584.17806058,1,year via subperiod fill
mumbai_2022,year,total_usage,median,32687584.17806058,1,year via subperiod fill
mumbai_2022,year_annualized,total_usage,mean,122482567.57246715,14,annualized from weekly mean ×52
mumbai_2022,hour,per_customer_usage,mean,0.5480449169613106,2262,per-customer mean per period
mumbai_2022,hour,per_customer_usage,median,0.5382728209779741,2262,per-customer mean per period
mumbai_2022,week,per_customer_usage,mean,91.16941308360143,14,per-customer mean per period
mumbai_2022,week,per_customer_usage,median,87.69750787240167,14,per-customer mean per period
mumbai_2022,month,per_customer_usage,mean,391.21972248570705,4,per-customer mean per period
mumbai_2022,month,per_customer_usage,median,379.46475167559066,4,per-customer mean per period
mumbai_2022,year,per_customer_usage,mean,759.8020925336947,1,per-customer mean per period
mumbai_2022,year,per_customer_usage,median,759.8020925336947,1,per-customer mean per period
mumbai_2022,all,zero_usage_share_rows,level,0.12108035634356146,122786672,""
mumbai_2022,all,top10pct_share,level,0.45811919211121144,43704,""
mumbai_2023,hour,total_usage,mean,23192.229363682123,2065,observed hours only
mumbai_2023,hour,total_usage,median,23348.841000000586,2065,observed hours only
mumbai_2023,week,total_usage,mean,3691597.5168655096,14,week via subperiod fill
mumbai_2023,week,total_usage,median,3465774.2680074056,14,week via subperiod fill
mumbai_2023,month,total_usage,mean,16628770.733014027,3,month via subperiod fill
mumbai_2023,month,total_usage,median,15414478.907032864,3,month via subperiod fill
mumbai_2023,year,total_usage,mean,49886312.19904208,1,year via subperiod fill
mumbai_2023,year,total_usage,median,49886312.19904208,1,year via subperiod fill
mumbai_2023,year_annualized,total_usage,mean,191963070.8770065,14,annualized from weekly mean ×52
mumbai_2023,hour,per_customer_usage,mean,0.5033763804532958,2065,per-customer mean per period
mumbai_2023,hour,per_customer_usage,median,0.5128744103248795,2065,per-customer mean per period
mumbai_2023,week,per_customer_usage,mean,81.80193820002354,14,per-customer mean per period
mumbai_2023,week,per_customer_usage,median,77.74949768785359,14,per-customer mean per period
mumbai_2023,month,per_customer_usage,mean,356.36868162138353,3,per-customer mean per period
mumbai_2023,month,per_customer_usage,median,338.85204925307835,3,per-customer mean per period
mumbai_2023,year,per_customer_usage,mean,967.2981699381685,1,per-customer mean per period
mumbai_2023,year,per_customer_usage,median,967.2981699381685,1,per-customer mean per period
mumbai_2023,all,zero_usage_share_rows,level,0.13668477259383865,189094063,""
mumbai_2023,all,top10pct_share,level,0.455654927064751,53796,""
mumbai,hour,total_usage,mean,18583.7368370709,4327,observed hours only
mumbai,hour,total_usage,median,21493.95500000147,4327,observed hours only
mumbai,week,total_usage,mean,3024721.207117517,27,week via subperiod fill
mumbai,week,total_usage,median,3506888.9330062275,27,week via subperiod fill
mumbai,month,total_usage,mean,11796270.911014851,7,month via subperiod fill
mumbai,month,total_usage,median,15414478.907032864,7,month via subperiod fill
mumbai,year,total_usage,mean,41286948.18855197,2,year via subperiod fill
mumbai,year,total_usage,median,41286948.18855197,2,year via subperiod fill
mumbai,year_annualized,total_usage,mean,157285502.77011088,27,annualized from weekly mean ×52
mumbai,hour,per_customer_usage,mean,0.5267274850479636,4327,per-customer mean per period
