city,year,month,est_total,coverage_ratio
delhi,2022,1,47016462.594678864,1.0
delhi,2022,2,35545454.810335726,1.0
delhi,2022,3,43740568.30092814,1.0
delhi,2022,4,71106392.55428034,0.5666666666666667
delhi,2022,5,73401157.74026664,1.0
delhi,2022,6,22.49076923076923,0.43333333333333335
delhi,2022,7,14.213843818181815,0.7096774193548387
delhi,2022,8,13.650983789473685,0.6129032258064516
delhi,2022,9,10.009950000000002,0.5333333333333333
delhi,2022,10,10.028500000000001,0.5161290322580645
delhi,2022,11,5935828.5468280185,0.7
delhi,2022,12,5.982999999999999,0.6774193548387096
mumbai,2022,9,186342.8000000093,0.1
mumbai,2022,10,400275.72000002913,1.0
mumbai,2022,11,16086342.314028675,1.0
mumbai,2022,12,16014623.344031863,1.0
